"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","POL","Poland","2007","2007",91.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","POL","Poland","2008","2008",90.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","POL","Poland","2009","2009",89.3,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","POL","Poland","2010","2010",89,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","POL","Poland","2011","2011",88.6,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","POL","Poland","2012","2012",88.6,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","POL","Poland","2013","2013",88.3,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","POL","Poland","2014","2014",88.3,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","POL","Poland","2015","2015",87.2,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","PRT","Portugal","2005","2005",89.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","PRT","Portugal","2006","2006",89.4,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","PRT","Portugal","2007","2007",89.2,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","PRT","Portugal","2008","2008",89.6,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","PRT","Portugal","2009","2009",89.1,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","PRT","Portugal","2010","2010",89.8,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","PRT","Portugal","2011","2011",89.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","PRT","Portugal","2012","2012",90,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","PRT","Portugal","2013","2013",89.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","PRT","Portugal","2014","2014",91.1,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","PRT","Portugal","2015","2015",89.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SVK","Slovakia","2005","2005",99.1,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SVK","Slovakia","2006","2006",99.1,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SVK","Slovakia","2007","2007",98.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SVK","Slovakia","2008","2008",98.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SVK","Slovakia","2009","2009",99,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SVK","Slovakia","2010","2010",98.1,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SVK","Slovakia","2011","2011",97.9,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SVK","Slovakia","2012","2012",97.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SVK","Slovakia","2013","2013",97.1,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SVK","Slovakia","2014","2014",97.1,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SVK","Slovakia","2015","2015",96.4,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ESP","Spain","2005","2005",83.8,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ESP","Spain","2006","2006",81.8,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ESP","Spain","2007","2007",73.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ESP","Spain","2008","2008",72.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ESP","Spain","2009","2009",72.6,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ESP","Spain","2010","2010",72.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ESP","Spain","2011","2011",73.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ESP","Spain","2012","2012",71.5,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ESP","Spain","2013","2013",68.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ESP","Spain","2014","2014",67,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","ESP","Spain","2015","2015",68.2,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SWE","Sweden","2007","2007",96.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SWE","Sweden","2008","2008",96.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SWE","Sweden","2009","2009",96.3,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SWE","Sweden","2010","2010",96.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SWE","Sweden","2011","2011",96.7,,
"FPCIND_S1T7","Percentage of indoor cinemas that are small facilities (1 to 7 screens)","SWE","Sweden","2012","2012",96.3,,
