"INDICATOR","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","1999","1999",50603.9,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2000","2000",52604.368,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2001","2001",53424.407,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2002","2002",55044.223,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2003","2003",57196.2,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2004","2004",58281.142,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2005","2005",57471.332,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2006","2006",58257.033,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2007","2007",56242.97,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2008","2008",56698.486,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2009","2009",56069.011,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2010","2010",55897.004,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2011","2011",54525.864,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2012","2012",54046.616,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2013","2013",52972.1,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2014","2014",52130.2,,
"20000","Total R&D personnel (FTE) - Total ","FIN","Finland","2015","2015",50367.2,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","1996","1996",320805,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","1997","1997",306177.86,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","1998","1998",309161.3,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","1999","1999",314452,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2000","2000",327466,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2001","2001",333518,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2002","2002",339847.195,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2003","2003",342307.04,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2004","2004",352003.3,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2005","2005",349681.26,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2006","2006",365813.959,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2007","2007",375235.447,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2008","2008",382652.77,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2009","2009",390213.53,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2010","2010",397756.294,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2011","2011",402491.7,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2012","2012",411780,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2013","2013",418141,,
"20000","Total R&D personnel (FTE) - Total ","FRA","France","2014","2014",417128.94,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","1996","1996",453679,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","1997","1997",460411,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","1998","1998",461539,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","1999","1999",479599,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2000","2000",484734,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2001","2001",480606,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2002","2002",480004,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2003","2003",472533,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2004","2004",470729,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2005","2005",475278,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2006","2006",487935,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2007","2007",506450,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2008","2008",523504.677,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2009","2009",534974.927,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2010","2010",548722.788,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2011","2011",575099.49,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2012","2012",591260.8,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2013","2013",588615.029,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2014","2014",605252.495,,
"20000","Total R&D personnel (FTE) - Total ","DEU","Germany","2015","2015",613740.12,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","1997","1997",20157.71,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","1999","1999",26382.22,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2001","2001",30226.29,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2003","2003",31849.19,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2005","2005",33602.672,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2006","2006",35139.7,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2007","2007",35530.96,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2011","2011",36913.33,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2012","2012",37361.2,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2013","2013",42187.62,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2014","2014",43316.11,,
"20000","Total R&D personnel (FTE) - Total ","GRC","Greece","2015","2015",50512.21,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","1996","1996",19776,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","1997","1997",20758,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","1998","1998",20315,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","1999","1999",21329,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2000","2000",23534,,
"20000","Total R&D personnel (FTE) - Total ","HUN","Hungary","2001","2001",22942,,
